missingPattern,prop,b,AUC_semi,AUC_known
create_missing_at_random_data,0.5,7,0.7173035312,0.7165164544
create_missing_at_random_data,0.5,8,0.712073,0.7115673536
create_missing_at_random_data,0.5,9,0.7074682776,0.7073095208000001
create_missing_class_one_data,0.5,0,0.7075983304,0.7131546056
create_missing_class_one_data,0.5,1,0.704169064,0.7091767823999999
create_missing_class_one_data,0.5,2,0.7072642048000001,0.71225454
create_missing_class_one_data,0.5,3,0.7011484928,0.7069782063999999
create_missing_class_one_data,0.5,4,0.7005958832000001,0.7057742384
create_missing_class_one_data,0.5,5,0.7077338256000001,0.7138029984
create_missing_class_one_data,0.5,6,0.7072443911999999,0.7110094375999999
create_missing_class_one_data,0.5,7,0.69877956,0.7026017312
create_missing_class_one_data,0.5,8,0.7047735119999999,0.7091293656000001
create_missing_class_one_data,0.5,9,0.7082574384,0.7124222336
create_missing_at_random_data,0.55,0,0.7094286776000001,0.7110775352
create_missing_at_random_data,0.55,1,0.7095339519999999,0.7100017048
create_missing_at_random_data,0.55,2,0.714226708,0.7139137471999999
create_missing_at_random_data,0.55,3,0.7108964568,0.7134921464
create_missing_at_random_data,0.55,4,0.7085520648,0.7108195063999999
create_missing_at_random_data,0.55,5,0.7082218640000001,0.7096936415999999
create_missing_at_random_data,0.55,6,0.7078639792,0.7094378743999998
create_missing_at_random_data,0.55,7,0.7098826032,0.71149254
create_missing_at_random_data,0.55,8,0.7084880128,0.7105965872
create_missing_at_random_data,0.55,9,0.7146720503999999,0.7134353456
create_missing_class_one_data,0.55,0,0.6977402048000001,0.7073496704
create_missing_class_one_data,0.55,1,0.69977436,0.7072877592000001
create_missing_class_one_data,0.55,2,0.7014778576,0.7090713271999999
create_missing_class_one_data,0.55,3,0.7005510032,0.7078211623999999
create_missing_class_one_data,0.55,4,0.6997011192,0.7070498984000001
create_missing_class_one_data,0.55,5,0.6987386784,0.7070291711999999
create_missing_class_one_data,0.55,6,0.7035125672,0.7110212256
create_missing_class_one_data,0.55,7,0.6987141288000001,0.7065270176
create_missing_class_one_data,0.55,8,0.6999639280000001,0.7072873456
create_missing_class_one_data,0.55,9,0.6998080792000001,0.7071882575999999
create_missing_at_random_data,0.6,0,0.7035488408,0.7073569288000001
create_missing_at_random_data,0.6,1,0.7091587944,0.7103408712
create_missing_at_random_data,0.6,2,0.7086743231999999,0.7126939120000001
create_missing_at_random_data,0.6,3,0.710537156,0.7129020288000001
create_missing_at_random_data,0.6,4,0.7105412176,0.7139819312
create_missing_at_random_data,0.6,5,0.7135593760000001,0.71501688
create_missing_at_random_data,0.6,6,0.7109842232,0.7135285328
create_missing_at_random_data,0.6,7,0.7144966288000001,0.7162629255999999
create_missing_at_random_data,0.6,8,0.7068702888,0.7119711679999999
create_missing_at_random_data,0.6,9,0.7139590008000001,0.7159135088
create_missing_class_one_data,0.6,0,0.6972153928,0.7094695392
create_missing_class_one_data,0.6,1,0.6956619584,0.7063312672000001
create_missing_class_one_data,0.6,2,0.6925510911999999,0.7056653088
create_missing_class_one_data,0.6,3,0.694041688,0.7070190096
create_missing_class_one_data,0.6,4,0.6931534208,0.7064530128
create_missing_class_one_data,0.6,5,0.69512218,0.7075095048
create_missing_class_one_data,0.6,6,0.6965050744000001,0.707115436
create_missing_class_one_data,0.6,7,0.6905587352,0.7037547648
create_missing_class_one_data,0.6,8,0.6975937943999999,0.7084588056
create_missing_class_one_data,0.6,9,0.6954062536,0.7073261016
create_missing_at_random_data,0.65,0,0.706004572,0.7105801479999999
